"/propertyPack", "Property Pack"
"/propertyPack/address", "Property Address"
"/propertyPack/address/line1", "Address line 1"
"/propertyPack/address/line2", "Address line 2"
"/propertyPack/address/line3", "Address line 3"
"/propertyPack/address/town", "Town"
"/propertyPack/address/postcode", "Postcode"
"/propertyPack/priceInformation", "Price information"
"/propertyPack/priceInformation/price", "Price"
"/propertyPack/priceInformation/priceQualifier", "Price type"
"/propertyPack/lettingInformation", "Letting information"
"/propertyPack/lettingInformation/rent", "Rent"
"/propertyPack/lettingInformation/rentFrequency", "Rent frequency"
"/propertyPack/lettingInformation/securityDeposit", "Security deposit"
"/propertyPack/lettingInformation/holdingDeposit", "Holding deposit"
"/propertyPack/marketingTenure", "What tenure is the property being marketed as?"
"/propertyPack/buildInformation", "About the property building"
"/propertyPack/buildInformation/building", "Building information"
"/propertyPack/buildInformation/building/builtForm", "Built form"
"/propertyPack/buildInformation/building/propertyType", "Property type"
"/propertyPack/buildInformation/building/otherType", "Please describe the other type of property build"
"/propertyPack/buildInformation/building/numberOfFloors", "Number of floors in the building"
"/propertyPack/buildInformation/building/entranceFloor", "Entrance floor"
"/propertyPack/buildInformation/building/hasLift", "Is the property served by a lift?"
"/propertyPack/buildInformation/building/overCommercialPremises", "Located over commercial premises?"
"/propertyPack/buildInformation/building/overCommercialPremises/isLocatedOverCommercialPremises", "Is the property located in a building which includes commercial property E.g. shops, offices etc?"
"/propertyPack/buildInformation/building/overCommercialPremises/details", "Please provide details"
"/propertyPack/buildInformation/roomDimensions", "Room dimensions"
"/propertyPack/buildInformation/roomDimensions/hasFloorplan", "Is a floorplan available which includes the dimensions of all the rooms?"
"/propertyPack/buildInformation/roomDimensions/attachments", "Attachments"
"/propertyPack/buildInformation/roomDimensions/rooms", "Rooms"
"/propertyPack/buildInformation/roomDimensions/rooms/roomName", "The name of the room"
"/propertyPack/buildInformation/roomDimensions/rooms/description", "Description of the room"
"/propertyPack/buildInformation/roomDimensions/rooms/length", "The length of the room"
"/propertyPack/buildInformation/roomDimensions/rooms/width", "The width of the room"
"/propertyPack/buildInformation/roomDimensions/rooms/units", "The units which the length and width of the room have been provided in"
"/propertyPack/buildInformation/roomDimensions/rooms/dimensionDetails", "Any additional description or clarification of the room dimensions"
"/propertyPack/ownership", "Ownership"
"/propertyPack/ownership/ownershipsToBeTransferred", "Ownerships to be transferred on sale"
"/propertyPack/ownership/ownershipsToBeTransferred", "Ownership to be transferred"
"/propertyPack/ownership/ownershipsToBeTransferred/ownershipType", "What type of ownership is the property?"
"/propertyPack/ownership/ownershipsToBeTransferred/managedFreeholdOrCommonholdInformation", "Managed freehold or commonhold information"
"/propertyPack/ownership/ownershipsToBeTransferred/managedFreeholdOrCommonholdInformation/serviceCharge", "Service Charge"
"/propertyPack/ownership/ownershipsToBeTransferred/managedFreeholdOrCommonholdInformation/serviceCharge/annualServiceCharge", "What is the annual Service Charge payable by this Property?"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation", "Leasehold information"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/sharedOwnership/isSharedOwnership", "Is the lease on a Shared Ownership basis?"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/sharedOwnership/sharedOwnershipPercentage", "Shared ownership percentage"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/sharedOwnership/sharedOwnershipRent", "Shared ownership rent (£)"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/sharedOwnership/sharedOwnershipRentFrequency", "Shared ownership rent frequency"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/leaseTerm/startYearOfLease", "Year that the lease commenced"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/leaseTerm/lengthOfLeaseInYears", "Length of lease (years)"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails", "Contact Details"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts", "Contacts"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/landlord", "Landlord"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/landlord/contact/nameOrOrganisation", "Name or organisation"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/landlord/contact/address", "Address"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/landlord/contact/address/line1", "Address line 1"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/landlord/contact/address/line2", "Address line 2"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/landlord/contact/address/line3", "Address line 3"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/landlord/contact/address/town", "Town"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/landlord/contact/address/postcode", "Postcode"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/landlord/contact/telephone", "Telephone"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/landlord/contact/emailAddress", "Email address"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/managementCompany", "Management Company"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/managementCompany/contact/nameOrOrganisation", "Name or organisation"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/managementCompany/contact/address", "Address"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/managementCompany/contact/address/line1", "Address line 1"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/managementCompany/contact/address/line2", "Address line 2"
"/propertyPack/ownership/ownershipsToBeTransferred/leaseholdInformation/contactDetails/contacts/managementCompany/contact/address/line3", "Address line 3"
